,file,interval_idx,t_start_hours,t_end_hours,n_events,success,log_likelihood,mu,alpha,beta,ks_reject_khmaladze,ad_reject_khmaladze,cvm_reject_khmaladze,rejected_count_khmaladze,ks_reject_naive,ad_reject_naive,cvm_reject_naive,rejected_count_naive,ks_reject_exp,ad_reject_exp,cvm_reject_exp,rejected_count_exp
1_5,SG_20170125.csv.gz,5,1.25,1.5,392,True,1235.403596649516,0.1996334419448333,11658.289179630017,21459.136062039797,False,False,False,0,False,False,False,0,True,True,True,3
1_6,SG_20170125.csv.gz,6,1.5,1.75,428,True,1529.5497961567512,0.2078578115598931,12478.73667154153,30221.653494802315,False,True,False,1,True,True,True,3,True,True,True,3
1_7,SG_20170125.csv.gz,7,1.75,2.0,528,True,2076.1165148718733,0.2510515839841919,20505.944081264697,34627.30712167198,False,False,False,0,False,False,False,0,True,True,True,3
1_8,SG_20170125.csv.gz,8,2.0,2.25,315,True,1234.4940864781588,0.1633349151974513,47717.81443130107,119678.47376921949,False,False,False,0,False,True,False,1,True,True,True,3
1_9,SG_20170125.csv.gz,9,2.25,2.5,325,True,1378.6755380437453,0.1580125381549447,56769.42996634978,120428.00352758437,True,True,True,3,False,True,False,1,True,True,True,3
1_10,SG_20170125.csv.gz,10,2.5,2.75,671,True,3118.204399324637,0.283022132886723,19708.511979241757,34529.72684699141,True,True,True,3,False,True,False,1,True,True,True,3
1_11,SG_20170125.csv.gz,11,2.75,3.0,344,True,1242.0276594006946,0.16448567972640407,13672.199573697126,29999.69735187615,False,False,False,0,False,True,False,1,True,True,True,3
1_12,SG_20170125.csv.gz,12,3.0,3.25,293,True,1123.3607088529811,0.13384572436856068,17429.874921533705,34349.07453843838,False,False,False,0,False,False,False,0,True,True,True,3
1_13,SG_20170125.csv.gz,13,3.25,3.5,363,True,926.1089878062369,0.21043369327601388,14666.050581822916,30556.779873155407,False,True,True,2,False,True,False,1,True,True,True,3
1_14,SG_20170125.csv.gz,14,3.5,3.75,377,True,1412.760745235902,0.1617285673954066,9931.182858099706,16276.158842180312,True,True,True,3,False,False,False,0,True,True,True,3
1_15,SG_20170125.csv.gz,15,3.75,4.0,279,True,802.2908166511083,0.16999979338070323,38420.90096971435,87837.87518447457,False,False,False,0,False,False,False,0,True,True,True,3
1_16,SG_20170125.csv.gz,16,4.0,4.25,269,True,1258.0815031998516,0.12226804542794131,49242.11669524667,108227.76190313762,True,True,True,3,False,True,False,1,True,True,True,3
1_17,SG_20170125.csv.gz,17,4.25,4.5,246,True,802.4607319867375,0.13934941890832384,55587.38084085666,148713.9060903774,True,True,True,3,False,False,False,0,True,True,True,3
1_18,SG_20170125.csv.gz,18,4.5,4.75,200,True,480.87501054404777,0.12572707878146575,54294.85259517588,153246.01371947184,False,True,False,1,False,True,False,1,True,True,True,3
1_19,SG_20170125.csv.gz,19,4.75,5.0,273,True,1011.9304357216552,0.14303649575377314,56828.16414677122,123699.83813177075,True,True,False,2,False,False,False,0,True,True,True,3
1_20,SG_20170125.csv.gz,20,5.0,5.25,285,True,738.4277780749287,0.16549997571690359,14322.409364724326,39438.50215963407,False,True,False,1,False,True,False,1,True,True,True,3
1_21,SG_20170125.csv.gz,21,5.25,5.5,450,True,1933.0832255080513,0.19292292110885773,16186.366646957234,31397.224762420683,False,True,False,1,False,True,False,1,True,True,True,3
1_22,SG_20170125.csv.gz,22,5.5,5.75,388,True,1746.6675947119024,0.16129159203429083,20825.566706638016,37618.48900707384,False,False,False,0,False,False,False,0,True,True,True,3
1_23,SG_20170125.csv.gz,23,5.75,6.0,511,True,2197.639796903719,0.2289353473878206,23517.793578596727,40451.01871472558,False,True,False,1,False,False,False,0,True,True,True,3
1_24,SG_20170125.csv.gz,24,6.0,6.25,768,True,3602.224175780759,0.31754690831463417,19681.51968833609,32229.05520804719,False,True,False,1,False,True,False,1,True,True,True,3
1_25,SG_20170125.csv.gz,25,6.25,6.5,486,True,1964.091838960566,0.22143243508824556,15492.33740165828,28886.245099974254,False,False,False,0,False,False,False,0,True,True,True,3
1_26,SG_20170125.csv.gz,26,6.5,6.75,623,True,2415.431299486867,0.3376252112834538,51978.399289242065,124248.8941521054,True,True,True,3,True,True,True,3,True,True,True,3
1_27,SG_20170125.csv.gz,27,6.75,7.0,692,True,2348.66404221864,0.40209062741690327,18789.75205556732,38054.6247866699,False,False,False,0,False,False,False,0,True,True,True,3
1_28,SG_20170125.csv.gz,28,7.0,7.25,675,True,2292.1729799915856,0.35533805204361274,16616.04030532451,28820.243868005957,False,False,False,0,False,False,False,0,True,True,True,3
1_29,SG_20170125.csv.gz,29,7.25,7.5,913,True,3507.135442160301,0.519939214019915,76347.52371326232,163121.51430164534,False,False,False,0,False,False,False,0,True,True,True,3
1_30,SG_20170125.csv.gz,30,7.5,7.75,762,True,2628.4873160074744,0.39208444465551395,13435.717716887786,23921.089378115492,False,True,False,1,True,True,False,2,True,True,True,3
1_31,SG_20170125.csv.gz,31,7.75,8.0,1304,True,7358.303739951601,0.540498510644609,54195.624206836175,97450.69411761932,False,True,False,1,False,True,False,1,True,True,True,3
1_32,SG_20170125.csv.gz,32,8.0,8.25,1041,True,4385.256858784951,0.5168627045901765,54415.64859011954,97893.35605244953,False,False,False,0,False,False,False,0,True,True,True,3
1_33,SG_20170125.csv.gz,33,8.25,8.4821780075,948,True,4119.954180515854,0.5312861031922339,49456.27561536058,89368.59546766568,False,False,False,0,False,False,False,0,True,True,True,3
2_0,SG_20170117.csv.gz,0,0.0,0.25,546,True,2031.4007536018573,0.21607157075524133,3662.188351199249,6688.976302597144,False,True,False,1,True,True,False,2,True,True,True,3
2_1,SG_20170117.csv.gz,1,0.25,0.5,740,True,2662.316142010632,0.37415724682421786,15019.84177688157,24689.623246954103,False,False,False,0,True,True,True,3,True,True,True,3
2_2,SG_20170117.csv.gz,2,0.5,0.75,481,True,1651.567865782843,0.23807003038786373,9876.38305318695,23370.245726693414,False,True,False,1,False,True,False,1,True,True,True,3
2_3,SG_20170117.csv.gz,3,0.75,1.0,479,True,1673.3987360717501,0.2664086227315859,68323.59761188747,156102.1100202785,True,True,True,3,False,False,False,0,True,True,True,3
2_4,SG_20170117.csv.gz,4,1.0,1.25,330,True,867.0380373086407,0.17635879138610225,7573.0686334250095,17123.749930053,True,True,False,2,False,True,False,1,True,True,True,3
2_5,SG_20170117.csv.gz,5,1.25,1.5,174,True,78.51249706573662,0.1285207733876118,5468.046260352803,32793.497570570915,False,True,False,1,False,True,False,1,True,True,True,3
2_6,SG_20170117.csv.gz,6,1.5,1.75,265,True,730.3473408060361,0.13242418545132273,5373.589004984685,16175.895134794051,True,True,True,3,False,True,False,1,True,True,True,3
2_7,SG_20170117.csv.gz,7,1.75,2.0,235,True,491.7533150338332,0.10816484257971838,834.4363046143212,2060.9407416274744,False,True,False,1,False,True,False,1,True,True,True,3
2_8,SG_20170117.csv.gz,8,2.0,2.25,211,True,275.6910578640958,0.13712004667329408,4976.840406622203,21692.680754676767,False,False,False,0,False,True,False,1,True,True,True,3
2_9,SG_20170117.csv.gz,9,2.25,2.5,556,True,1620.868218055272,0.24374770011922386,2283.6360118580155,3758.876966654441,False,False,False,0,False,False,False,0,True,True,True,3
2_10,SG_20170117.csv.gz,10,2.5,2.75,200,True,671.1470414146775,0.09630948244339448,10857.044278375737,26086.62071766326,True,True,False,2,False,False,False,0,True,True,True,3
2_11,SG_20170117.csv.gz,11,2.75,3.0,353,True,1298.772675258446,0.16921105253180752,12424.426477007697,28049.93305802414,True,True,False,2,False,True,False,1,True,True,True,3
2_12,SG_20170117.csv.gz,12,3.0,3.25,385,True,1319.888911963118,0.21033665559907894,43123.90239592802,82034.66781308202,False,False,False,0,False,False,False,0,True,True,True,3
2_13,SG_20170117.csv.gz,13,3.25,3.5,393,True,1103.6035716099386,0.20728112271576998,6635.944005221094,14675.387459457295,False,True,False,1,False,True,False,1,True,True,True,3
2_14,SG_20170117.csv.gz,14,3.5,3.75,533,True,1899.1754609217583,0.2714684556368682,16967.043689095233,33546.07373497709,False,True,True,2,False,True,False,1,True,True,True,3
2_15,SG_20170117.csv.gz,15,3.75,4.0,535,True,1436.5778478363732,0.30505820785148063,11903.8922090895,24395.71076563557,False,True,False,1,False,True,False,1,True,True,True,3
2_16,SG_20170117.csv.gz,16,4.0,4.25,359,True,1010.571378652861,0.22660388539040763,40674.2332548077,122034.06127027546,True,True,True,3,False,True,False,1,True,True,True,3
2_17,SG_20170117.csv.gz,17,4.25,4.5,341,True,1164.6404596570846,0.17188714294328905,15422.635663694848,33617.64339417412,False,False,False,0,False,False,False,0,True,True,True,3
2_18,SG_20170117.csv.gz,18,4.5,4.75,394,True,1059.9094130536982,0.21059301554657328,5763.089354591096,14786.549320882972,False,False,False,0,False,True,False,1,True,True,True,3
2_19,SG_20170117.csv.gz,19,4.75,5.0,799,True,3560.2405922405865,0.40228523299385227,55779.27717283046,106312.15884595923,False,True,False,1,False,False,False,0,True,True,True,3
2_20,SG_20170117.csv.gz,20,5.0,5.25,366,True,1100.4678841383054,0.18716225383867569,8473.925554069772,21520.703280394497,False,False,False,0,False,True,True,2,True,True,True,3
2_21,SG_20170117.csv.gz,21,5.25,5.5,354,True,1213.0764917197084,0.17535374693660283,13552.198191878259,24293.03103793812,False,False,False,0,False,False,False,0,True,True,True,3
2_22,SG_20170117.csv.gz,22,5.5,5.75,416,True,944.7091974279485,0.2527456751115745,10849.81791258689,29529.313228074054,True,True,True,3,False,True,False,1,True,True,True,3
